Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.5454216003418,35.4246891776911,26.90011689528922,29.051480080819935,855215656
1,2007-10-08,30.879331588745117,33.645368840548784,30.685222864632642,33.645368840548784,126671715
2,2007-10-09,32.982177734375,33.27333872493625,29.22942388956217,30.895515924150608,116725709
3,2007-10-10,33.28950119018555,33.96887948189164,32.99834031886197,33.839472943776364,67931378
4,2007-10-11,37.0098991394043,38.821573014807456,32.99833837896425,38.821573014807456,106320954
5,2007-10-12,36.76726150512695,38.142191798388325,35.90995290573742,36.23346591591656,99410791
6,2007-10-15,37.252540588378906,37.753988515704634,36.9290274951083,37.52752759524435,41814972
7,2007-10-16,41.0538215637207,41.70085217174976,37.04225987667578,37.301068609545496,138614496
8,2007-10-17,44.2566032409668,45.291842522417625,34.324747177407374,36.88050196948446,204876259
9,2007-10-18,42.7037353515625,48.349040354809915,40.87588732647553,44.96832691239553,146617799
10,2007-10-19,42.55817413330078,44.28897068231998,40.43915997757362,41.733212816028534,110266491
11,2007-10-22,41.992008209228516,43.30223439737445,40.600899365049735,41.7008473216324,72253405
12,2007-10-23,44.984500885009766,45.38889219637619,43.02724430524036,43.02724430524036,74594921
13,2007-10-24,44.28895568847656,46.42414302665404,43.78750775058117,45.93886898859224,63055170
14,2007-10-25,44.191898345947266,45.2271420031388,39.0318627353921,42.78461550780248,34522489
15,2007-10-26,45.5182991027832,46.24620350425056,43.755151130724876,44.968325133170474,62370025
16,2007-10-29,46.44031524658203,47.556437156688446,46.03592388609813,46.26238480313995,43657697
17,2007-10-30,47.47554397583008,48.75341764091185,45.680044266366686,47.07115274233729,79921711
18,2007-10-31,48.4622802734375,49.529876279050825,47.55644522739694,47.71820179904189,44655368
19,2007-11-01,47.37849807739258,50.031306919488635,46.99028503889122,49.65926777878566,50632492
20,2007-11-02,48.235816955566406,48.52698228060946,45.291846618226735,45.66389022513117,32001693
21,2007-11-05,49.2225341796875,50.306304024365964,47.91230339268425,48.20346871508114,38833135
22,2007-11-06,49.86954879760742,53.023801025867414,49.19017051701227,50.07983140190611,81880281
23,2007-11-07,49.141666412353516,51.50331097134222,48.0417224312893,50.791584577914094,33593141
24,2007-11-08,48.300514221191406,49.61074482709531,47.23292281305665,47.87994897263577,27990521
25,2007-11-12,49.46515655517578,50.33864352634539,45.56682175472056,46.84470002959342,35153735
